States,Normalised Length,Normalised H,Normalised S,Normalised C,Normalised Hydrophobic,Normalised Hydrophilic
1,0.104651163,0.097560976,0.152173913,0.166666667,0.11067883,0.063053097
1,0.081395349,0.097560976,0.108695652,0,0.184464717,0.10579646
1,0.194186047,0.097560976,0.195652174,0.166666667,0.076558447,0.062654867
1,0.015116279,0,0.130434783,0.166666667,0.178874877,0.149690265
1,0,0.048780488,0,0,0.315803595,0.231548673
1,0.105813953,0.073170732,0.152173913,0,0.239781773,0.218274336
1,0.072093023,0.048780488,0.130434783,0.083333333,0.051426527,0.042389381
1,0.01627907,0,0,0,1,1
1,0.156976744,0.170731707,0.673913043,0.25,0.183346749,0.123893805
1,0.115116279,0.146341463,0.130434783,0,0.128566318,0.068938053
1,0.110465116,0.048780488,0.239130435,0.166666667,0.023477328,0.013982301
1,0.003488372,0.024390244,0.02173913,0,0,0.006637168
1,0.010465116,0.048780488,0.043478261,0.166666667,0.000536625,0.008849558
1,0.129069767,0,0.217391304,0.083333333,0.336508362,0.231902655
1,0.08255814,0.073170732,0.043478261,0.083333333,0.137510062,0.134557522
